"","sc3_34_clusters"
"GSM1772089196.8","9"
"GSM1772089190.12","9"
"GSM1772089187.6","8"
"GSM1772092004.6","11"
"GSM1772096100.24","13"
"GSM1772092008.15","8"
"GSM1772096132.20","9"
"GSM1772078018.15","9"
"GSM1772075305.17","8"
"GSM1772078017.18","19"
"GSM1772089194.19","16"
"GSM1772092012.9","9"
"GSM1772096136.19","11"
"GSM1772089186.8","11"
"GSM1772078031.7","10"
"GSM1772089186.9","11"
"GSM1772089190.13","9"
"GSM1772078017.19","19"
"GSM1772078017.20","9"
"GSM1772089190.14","9"
"GSM1772089194.20","9"
"GSM1772078031.8","20"
"GSM1772078028.10","9"
"GSM1772089188.5","11"
"GSM1772092012.10","9"
"GSM1772078014.11","9"
"GSM1772078013.17","9"
"GSM1772075317.12","16"
"GSM1772075310.10","19"
"GSM1772075310.11","19"
"GSM1772078028.11","16"
"GSM1772078028.12","20"
"GSM1772078029.10","8"
"GSM1772078029.11","9"
"GSM1772078029.12","11"
"GSM1772078030.29","19"
"GSM1772078013.18","8"
"GSM1772078013.19","11"
"GSM1772078014.12","7"
"GSM1772078016.17","8"
"GSM1772078016.18","7"
"GSM1772078016.19","8"
"GSM1772078017.21","8"
"GSM1772078018.16","11"
"GSM1772078018.17","8"
"GSM1772078023.1","16"
"GSM1772078023.2","7"
"GSM1772092008.16","13"
"GSM1772092009.6","16"
"GSM1772092009.7","7"
"GSM1772092010.5","8"
"GSM1772092010.6","7"
"GSM1772092010.7","7"
"GSM1772092011.4","7"
"GSM1772089194.21","11"
"GSM1772089194.22","8"
"GSM1772089195.12","11"
"GSM1772089190.15","8"
"GSM1772089188.6","7"
"GSM1772089188.7","7"
"GSM1772089186.10","16"
"GSM1772089187.7","7"
"GSM1772096158.2","8"
"GSM1772096096.7","8"
"GSM1772096096.8","19"
"GSM1772096096.9","16"
"GSM1772096097.10","20"
"GSM1772096099.14","19"
"GSM1772096099.15","11"
"GSM1772096099.16","19"
"GSM1772096099.17","7"
"GSM1772096100.25","11"
"GSM1772096100.26","11"
"GSM1772096100.27","10"
"GSM1772096101.20","11"
"GSM1772096101.21","11"
"GSM1772096101.22","8"
"GSM1772096101.23","11"
"GSM1772096102.9","7"
"GSM1772096102.10","11"
"GSM1772096103.23","15"
"GSM1772096103.24","7"
"GSM1772096132.21","11"
"GSM1772096132.22","16"
"GSM1772096132.23","16"
"GSM1772096132.24","13"
"GSM1772096132.25","7"
"GSM1772096132.26","8"
"GSM1772096135.20","13"
"GSM1772096135.21","8"
"GSM1772096133.14","7"
"GSM1772096136.20","7"
"GSM1772096136.21","22"
"GSM1772096136.22","11"
"GSM1772096136.23","11"
"GSM1772096138.27","7"
"GSM1772096141.32","7"
"GSM1772096141.33","8"
"GSM1772096141.34","13"
"GSM1772096162.15","11"
"GSM1772096162.16","7"
"GSM1772096162.17","19"
"GSM1772096162.18","8"
"GSM1772096162.19","5"
"GSM1772096162.20","15"
"GSM1772096165.14","11"
"GSM1772096165.15","7"
"GSM1772096168.15","8"
"GSM1772096171.8","8"
"GSM1772096171.9","7"
"GSM1772096171.10","11"
"GSM1772096171.11","19"
"GSM1772096128.6","19"
"GSM1772096131","7"
"GSM1772096145.4","11"
"GSM1772096175.4","7"
"GSM1772096175.5","16"
"GSM1772084020.8","7"
"GSM1772084021.13","10"
"GSM1772084021.14","12"
"GSM1772058147.2","8"
"GSM1772075310.12","11"
"GSM1772075310.13","16"
"GSM1772078029.13","16"
"GSM1772078029.14","9"
"GSM1772078013.20","7"
"GSM1772078014.13","8"
"GSM1772078014.14","8"
"GSM1772078014.15","7"
"GSM1772078016.20","10"
"GSM1772078022.9","11"
"GSM1772078023.3","9"
"GSM1772092012.11","11"
"GSM1772092009.8","7"
"GSM1772092009.9","8"
"GSM1772092009.10","8"
"GSM1772092010.8","8"
"GSM1772092010.9","7"
"GSM1772092010.10","7"
"GSM1772089195.13","13"
"GSM1772089196.9","16"
"GSM1772089188.8","7"
"GSM1772089188.9","7"
"GSM1772092005.5","11"
"GSM1772096127","19"
"GSM1772096096.10","8"
"GSM1772096099.18","8"
"GSM1772096099.19","16"
"GSM1772096099.20","7"
"GSM1772096099.21","7"
"GSM1772096100.28","19"
"GSM1772096101.24","11"
"GSM1772096102.11","7"
"GSM1772096103.25","19"
"GSM1772096103.26","8"
"GSM1772096103.27","8"
"GSM1772096103.28","8"
"GSM1772096103.29","8"
"GSM1772096103.30","8"
"GSM1772096103.31","8"
"GSM1772096103.32","7"
"GSM1772096132.27","8"
"GSM1772096132.28","8"
"GSM1772096132.29","8"
"GSM1772096132.30","8"
"GSM1772096132.31","8"
"GSM1772096132.32","8"
"GSM1772096132.33","8"
"GSM1772096132.34","8"
"GSM1772096132.35","8"
"GSM1772096135.22","13"
"GSM1772096133.15","19"
"GSM1772096133.16","20"
"GSM1772096134.10","10"
"GSM1772096134.11","16"
"GSM1772096136.24","19"
"GSM1772096136.25","19"
"GSM1772096136.26","8"
"GSM1772096138.28","7"
"GSM1772096138.29","19"
"GSM1772096138.30","9"
"GSM1772096140.16","9"
"GSM1772096140.17","7"
"GSM1772096144.8","7"
"GSM1772096162.21","11"
"GSM1772096162.22","9"
"GSM1772096162.23","15"
"GSM1772096162.24","15"
"GSM1772096165.16","34"
"GSM1772096165.17","13"
"GSM1772096171.12","7"
"GSM1772096171.13","8"
"GSM1772096171.14","8"
"GSM1772096172.10","11"
"GSM1772096172.11","8"
"GSM1772096173.10","11"
"GSM1772096128.7","20"
"GSM1772096128.8","11"
"GSM1772096145.5","34"
"GSM1772096145.6","34"
"GSM1772078018.18","9"
"GSM1772096126.10","9"
"GSM1772096097.11","8"
"GSM1772096134.12","9"
"GSM1772096144.9","8"
"GSM1772089195.14","9"
"GSM1772078017.22","9"
"GSM1772078028.13","9"
"GSM1772092012.12","9"
"GSM1772089194.23","8"
"GSM1772089195.15","9"
"GSM1772089190.16","8"
"GSM1772092005.6","11"
"GSM1772096100.29","8"
"GSM1772096132.36","11"
"GSM1772096136.27","8"
"GSM1772096168.16","10"
"GSM1772092004.7","30"
"GSM1772092012.13","30"
"GSM1772096126.11","30"
