"","x"
"GSM1772089190.15",15
"GSM1772096168.16",15
"GSM1772078014.13",15
"GSM1772096171.8",15
"GSM1772096103.27",15
"GSM1772096103.31",15
"GSM1772096131.15",15
"GSM1772089194.17",15
"GSM1772089190.16",15
"GSM1772075310.9",15
"GSM1772096140.16",15
"GSM1772078030.17",15
"GSM1772078017.20",15
"GSM1772096132.30",15
"GSM1772096171.13",15
"GSM1772092013.6",15
"GSM1772078014.11",15
"GSM1772078016.14",15
"GSM1772096132.36",15
"GSM1772096136.18",15
"GSM1772078031.14",15
"GSM1772092012.38",15
"GSM1772089195.15",15
"GSM1772078017.13",15
"GSM1772096132.28",15
"GSM1772078018.10",15
"GSM1772089196.5",15
"GSM1772096100.29",15
"GSM1772096128.8",15
"GSM1772089195.10",15
"GSM1772089195.11",15
"GSM1772096128.5",15
"GSM1772084021.13",15
"GSM1772092013.8",15
"GSM1772078018.18",15
"GSM1772089190.12",15
"GSM1772078017.19",15
"GSM1772089190.14",15
"GSM1772075304.20",15
"GSM1772089194.18",15
"GSM1772092012.9",15
"GSM1772089195.9",15
"GSM1772078014.8",15
"GSM1772096144.9",15
"GSM1772078031.6",15
"GSM1772089190.13",15
"GSM1772078016.13",15
"GSM1772075304.17",15
"GSM1772078031.8",15
"GSM1772092005.2",15
"GSM1772078018.11",15
"GSM1772096101.18",15
"GSM1772092013.7",15
"GSM1772075317.8",15
"GSM1772092008.12",15
"GSM1772078017.22",15
"GSM1772075304.18",15
"GSM1772078017.12",15
"GSM1772075305.4",15
"GSM1772089190.11",15
"GSM1772096165.15",15
"GSM1772089196.7",15
"GSM1772078017.33",15
"GSM1772078030.22",15
"GSM1772092012.10",15
"GSM1772078013.14",15
"GSM1772092005.4",15
"GSM1772078030.25",15
"GSM1772078016.9",15
"GSM1772078028.13",15
"GSM1772092012.12",15
"GSM1772075305.15",15
"GSM1772078013.13",15
"GSM1772078030.26",15
"GSM1772075310.8",15
"GSM1772089194.20",15
"GSM1772092012.8",15
"GSM1772096141.31",15
"GSM1772089195.22",15
"GSM1772078014.7",15
"GSM1772075305.13",15
"GSM1772078016.17",15
"GSM1772078030.28",15
"GSM1772096132.34",15
"GSM1772084017.11",15
"GSM1772078029.10",15
"GSM1772075310.2",15
"GSM1772078017.17",15
"GSM1772096099.20",15
"GSM1772078013.11",15
"GSM1772096103.28",15
"GSM1772096101.24",15
"GSM1772096101.23",15
"GSM1772078014.9",15
"GSM1772078014.14",15
"GSM1772092010.8",15
"GSM1772089195.14",15
"GSM1772096100.25",15
"GSM1772096135.18",15
"GSM1772096096.7",15
"GSM1772092011.4",15
"GSM1772075309.47",16
"GSM1772058147.74",16
"GSM1772058147.68",16
"GSM1772058147.75",16
"GSM1772058147.72",16
"GSM1772058147.1",16
"GSM1772058147.73",16
"GSM1772058147.71",16
"GSM1772078028.39",16
"GSM1772058147.34",16
"GSM1772058147.59",16
"GSM1772058147.31",16
"GSM1772058147.61",16
"GSM1772058147.62",16
"GSM1772058147.69",16
"GSM1772096136.25",16
"GSM1772058147.20",16
"GSM1772058147.18",16
"GSM1772078029.29",16
"GSM1772058147.60",16
"GSM1772058147.36",16
"GSM1772096096.32",16
