"","x"
"GSM2613506","0"
"GSM2613507","2"
"GSM2613508","4"
"GSM2613509","0"
"GSM2613510","0"
"GSM2613511","0"
"GSM2613512","2"
"GSM2613513","2"
"GSM2613514","4"
"GSM2613515","0"
"GSM2613516","0"
"GSM2613517","2"
"GSM2613518","0"
"GSM2613519","0"
"GSM2613520","2"
"GSM2613521","0"
"GSM2613522","5"
"GSM2613523","2"
"GSM2613524","0"
"GSM2613525","0"
"GSM2613526","0"
"GSM2613527","0"
"GSM2613528","0"
"GSM2613529","2"
"GSM2613530","4"
"GSM2613531","0"
"GSM2613532","0"
"GSM2613533","0"
"GSM2613534","2"
"GSM2613535","0"
"GSM2613536","0"
"GSM2613537","5"
"GSM2613538","0"
"GSM2613539","0"
"GSM2613540","0"
"GSM2613541","9"
"GSM2613542","4"
"GSM2613543","0"
"GSM2613544","9"
"GSM2613545","2"
"GSM2613546","2"
"GSM2613547","2"
"GSM2613548","5"
"GSM2613549","5"
"GSM2613550","0"
"GSM2613551","2"
"GSM2613552","0"
"GSM2613553","2"
"GSM2613554","2"
"GSM2613555","0"
"GSM2613556","2"
"GSM2613557","0"
"GSM2613558","9"
"GSM2613559","2"
"GSM2613560","0"
"GSM2613561","4"
"GSM2613562","2"
"GSM2613563","4"
"GSM2613564","4"
"GSM2613565","2"
"GSM2613566","0"
"GSM2613567","2"
"GSM2613568","4"
"GSM2613569","5"
"GSM2613570","5"
"GSM2613571","2"
"GSM2613572","0"
"GSM2613573","4"
"GSM2613574","5"
"GSM2613575","4"
"GSM2613576","9"
"GSM2613577","0"
"GSM2613578","0"
"GSM2613579","2"
"GSM2613580","9"
"GSM2613581","2"
"GSM2613582","5"
"GSM2613583","0"
"GSM2613584","2"
"GSM2613585","0"
"GSM2613586","2"
"GSM2613587","5"
"GSM2613588","4"
"GSM2613589","4"
"GSM2613590","0"
"GSM2613591","2"
"GSM2613592","0"
"GSM2613593","0"
"GSM2613594","2"
"GSM2613595","4"
"GSM2613596","4"
"GSM2613597","0"
"GSM2613598","5"
"GSM2613599","4"
"GSM2613600","0"
"GSM2613601","0"
"GSM2613602","9"
"GSM2613603","0"
"GSM2613604","4"
"GSM2613605","0"
"GSM2613606","0"
"GSM2613607","0"
"GSM2613608","5"
"GSM2613609","5"
"GSM2613610","0"
"GSM2613611","2"
"GSM2613612","0"
"GSM2613613","5"
"GSM2613614","4"
"GSM2613615","0"
"GSM2613616","2"
"GSM2613617","2"
"GSM2613618","0"
"GSM2613619","4"
"GSM2613620","5"
"GSM2613621","2"
"GSM2613622","0"
"GSM2613623","0"
"GSM2613624","5"
"GSM2613625","0"
"GSM2613626","0"
"GSM2613627","2"
"GSM2613628","4"
"GSM2613629","0"
"GSM2613630","0"
"GSM2613631","4"
"GSM2613632","0"
"GSM2613633","2"
"GSM2613634","2"
"GSM2613635","4"
"GSM2613636","4"
"GSM2613637","0"
"GSM2613638","2"
"GSM2613639","9"
"GSM2613640","2"
"GSM2613641","2"
"GSM2613642","2"
"GSM2613643","5"
"GSM2613644","0"
"GSM2613645","0"
"GSM2613646","5"
"GSM2613647","0"
"GSM2613648","0"
"GSM2613649","0"
"GSM2613650","2"
"GSM2613651","9"
"GSM2613652","0"
"GSM2613653","4"
"GSM2613654","5"
"GSM2613655","2"
"GSM2613656","9"
"GSM2613657","9"
"GSM2613658","0"
"GSM2613659","0"
"GSM2613660","0"
"GSM2613661","4"
"GSM2613662","4"
"GSM2613663","2"
"GSM2613664","4"
"GSM2613665","2"
"GSM2613666","0"
"GSM2613667","4"
"GSM2613668","4"
"GSM2613669","2"
"GSM2613670","0"
"GSM2613671","2"
"GSM2613672","2"
"GSM2613673","0"
"GSM2613674","2"
"GSM2613675","0"
"GSM2613676","5"
"GSM2613677","5"
"GSM2613678","5"
"GSM2613679","2"
"GSM2613680","0"
"GSM2613681","0"
"GSM2613682","2"
"GSM2613683","0"
"GSM2613684","2"
"GSM2613685","0"
"GSM2613686","2"
"GSM2613687","5"
"GSM2613688","0"
"GSM2613689","0"
"GSM2613690","4"
"GSM2613691","0"
"GSM2613692","0"
"GSM2613693","0"
"GSM2613694","0"
"GSM2613695","5"
"GSM2613696","0"
"GSM2613697","2"
"GSM2613698","2"
"GSM2613699","2"
"GSM2613700","9"
"GSM2613701","2"
"GSM2613702","4"
"GSM2613703","4"
"GSM2613704","2"
"GSM2613705","0"
"GSM2613706","2"
"GSM2613707","0"
"GSM2613708","0"
"GSM2613709","2"
"GSM2613710","0"
