"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Ticrr","Ticrr",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Zfp819","Zfp819",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Pik3c2g","Pik3c2g",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"B230319C09Rik","B230319C09Rik",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Gm7361","Gm7361",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Speer4a","Speer4a",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Mmel1","Mmel1",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Tnfrsf9","Tnfrsf9",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Tmem200b","Tmem200b",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"A3galt2","A3galt2",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Tnfsf15","Tnfsf15",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"C130080G10Rik","C130080G10Rik",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Snora19-loc1","Snora19-loc1",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Mtl5","Mtl5",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Pcdhgb7","Pcdhgb7",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Pcdhb8","Pcdhb8",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Tdrd6","Tdrd6",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Snx9","Snx9",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"4930404H11Rik","4930404H11Rik",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Bhlha9","Bhlha9",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Vpreb3","Vpreb3",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Hhipl2","Hhipl2",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Gpr1","Gpr1",1.0703893278914,0.995072374499538,0.0168994187019776,0.452779072433172
"Hist1h4c","Hist1h4c",2.03562390973072,0.965336473024541,0.0369497094551833,0.452803956816316
"AW011738","AW011738",1.63226821549951,0.987672199324199,0.036942321648933,0.452838583519306
"Clasrp","Clasrp",3.81762325751143,0.769416485013523,0.0169210953114913,0.452880671124833
"Gm5801-loc2","Gm5801-loc2",2.03562390973072,0.965316185858018,0.0369294222886598,0.452899043776726
"Abcc1","Abcc1",2.35049724708413,0.915088235147042,0.0169273040438859,0.452909772143294
"Tdgf1","Tdgf1",1.0703893278914,0.995113438045375,0.0169404822478149,0.452971540687015
"Zfp866","Zfp866",2.35049724708413,0.93506377100436,0.0369028399012042,0.453023640838669
"Fgfrl1","Fgfrl1",2.03562390973072,0.945341595017372,0.0169548314480138,0.453038799188869
"St6galnac3","St6galnac3",2.82781902461732,0.886596381952665,0.0368967303907142,0.453052278012279
"1600020E01Rik","1600020E01Rik",2.03562390973072,0.945348875498041,0.0169621119286827,0.453072925245389
"Adam17","Adam17",3.33628338786443,0.816053489812244,0.0169621356710171,0.453073036534246
"Mterfd2","Mterfd2",3.01792190799726,0.867116417992812,0.0368900473610099,0.453083603728229
"Nrp1","Nrp1",3.33628338786443,0.835979579869454,0.0368882257282273,0.453092142413841
"Gckr","Gckr",1.0703893278914,0.995148342059337,0.0169753862617764,0.453135147391859
"Gm6225","Gm6225",1.0703893278914,0.995148342059337,0.0169753862617764,0.453135147391859
"Pvt1","Pvt1",2.03562390973072,0.965261963167722,0.0368751995983642,0.453153201470117
"Irx5","Irx5",2.03562390973072,0.965257417102967,0.0368706535336087,0.453174511085775
"Atp5b","Atp5b",6.17192735435346,0.560926246137431,0.0169927389177241,0.453216488015384
"Guk1","Guk1",3.59693514238723,0.811072390746761,0.0368614927021008,0.453217452766323
"Eif3g","Eif3g",4.00898878322726,0.770704088640794,0.0368536392428241,0.453254266534701
"Gm10125","Gm10125",1.63226821549951,0.987582225802121,0.0368523481268551,0.453260318790733
"Mtmr3","Mtmr3",3.18586654531133,0.830541869107091,0.0170029672447141,0.453264434246609
"Scyl2","Scyl2",2.03562390973072,0.965233765040874,0.0368470014715163,0.453285381974051
"Ddx39","Ddx39",2.60880924267552,0.888973635260236,0.0170116946880199,0.453305345485086
"Sfrp1","Sfrp1",2.03562390973072,0.945406757921739,0.0170199943523812,0.453344251903442
"Pabpc1","Pabpc1",5.83541884047548,0.588366721674126,0.0170214104234798,0.453350890078608
"Srp14","Srp14",6.42794133250948,0.540517021572808,0.0170229662668953,0.453358183485282
"Amz1","Amz1",2.03562390973072,0.94541585981018,0.0170290962408214,0.453386919430346
"Ccdc41os1","Ccdc41os1",2.60880924267552,0.88899420747762,0.0170322669054037,0.453401782891671
"Maged1","Maged1",5.39574832817903,0.645022244636212,0.0368200437551354,0.453411752814854
"Shkbp1","Shkbp1",2.35049724708413,0.934977525630882,0.0368165945277256,0.453427922246499
"Uckl1","Uckl1",3.33628338786443,0.835904033294141,0.0368126791529144,0.453446276996874
"Snord68","Snord68",1.63226821549951,0.967774075836903,0.0170441981616372,0.453457714894328
"Doc2g","Doc2g",1.63226821549951,0.967779042415965,0.0170491647406988,0.453480997770466
"Gm1976","Gm1976",2.35049724708413,0.915220312282815,0.0170593811796591,0.453528892020501
"Samd12","Samd12",1.63226821549951,0.967814526312802,0.0170846486375364,0.453647347736173
"Kcnj14","Kcnj14",1.63226821549951,0.987499192036714,0.0367693143614479,0.4536495719468
"Zfp963","Zfp963",1.63226821549951,0.96781896143222,0.0170890837569544,0.453668140330542
"Ssh1","Ssh1",1.63226821549951,0.98749371431952,0.0367638366442536,0.45367525245214
"Ppp1r14a","Ppp1r14a",2.35049724708413,0.934924331223464,0.0367634001203078,0.453677298961804
"Cldn9","Cldn9",1.0703893278914,0.995279647635669,0.0171066918381082,0.453750691263056
"Sftpd","Sftpd",1.0703893278914,0.995279647635669,0.0171066918381082,0.453750691263056
"Plxna4","Plxna4",2.82781902461732,0.866807618051421,0.0171079664894703,0.453756667213764
"Dner","Dner",4.64961545906341,0.71059816274476,0.0367383407446682,0.453794784278111
"Tapbpl","Tapbpl",2.03562390973072,0.965122664265626,0.0367359006962681,0.453806224119222
"Six5","Six5",1.63226821549951,0.98746490629031,0.0367350286150444,0.45381031276489
"Mir5113","Mir5113",1.63226821549951,0.98746490629031,0.0367350286150444,0.45381031276489
"Asb14","Asb14",1.63226821549951,0.98746490629031,0.0367350286150444,0.45381031276489
"Pde10a","Pde10a",3.18586654531133,0.850268365767724,0.0367294639053464,0.453836402337857
"Gm2721","Gm2721",1.63226821549951,0.98745744285183,0.0367275651765636,0.453845304379382
"Tmem219","Tmem219",2.60880924267552,0.889093414163681,0.0171314735914654,0.453866877485964
"Tll1","Tll1",1.0703893278914,0.995307349234051,0.0171343934364905,0.453880567082824
"Snora3","Snora3",1.0703893278914,0.995307349234051,0.0171343934364905,0.453880567082824
"Oas1a","Oas1a",1.0703893278914,0.995307349234051,0.0171343934364905,0.453880567082824
"4930549G23Rik","4930549G23Rik",1.0703893278914,0.995307349234051,0.0171343934364905,0.453880567082824
