"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Gm13483","Gm13483",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Lcor","Lcor",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Pcdha11","Pcdha11",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Lama3","Lama3",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Ttc7","Ttc7",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Myom1","Myom1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Mdc1","Mdc1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Prrt1","Prrt1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Zfp13","Zfp13",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Dtx3l","Dtx3l",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"LOC101669761","LOC101669761",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Snx29","Snx29",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Pus7l","Pus7l",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Tymp","Tymp",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Cacna1i","Cacna1i",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Mpst","Mpst",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Oplah","Oplah",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"BC024139","BC024139",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Zfat","Zfat",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Nov","Nov",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Tmem74","Tmem74",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Rspo2","Rspo2",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Htr2a","Htr2a",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Il17d","Il17d",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Wdhd1","Wdhd1",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Ptger2","Ptger2",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Il17rb","Il17rb",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Fam151b","Fam151b",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"2810049E08Rik","2810049E08Rik",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Cdyl","Cdyl",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"AF357426","AF357426",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Gm10432","Gm10432",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Myadml2","Myadml2",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"2610035D17Rik","2610035D17Rik",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Ccdc103","Ccdc103",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
"Myo19","Myo19",0.137503523749935,0.969026548672566,-0.0308884123905994,0.283536666248256
